,img_path,label_path
0,hard_hat_workers0.png,hard_hat_workers0.txt
1,hard_hat_workers1.png,hard_hat_workers1.txt
2,hard_hat_workers10.png,hard_hat_workers10.txt
3,hard_hat_workers100.png,hard_hat_workers100.txt
4,hard_hat_workers1000.png,hard_hat_workers1000.txt
5,hard_hat_workers1001.png,hard_hat_workers1001.txt
6,hard_hat_workers1002.png,hard_hat_workers1002.txt
7,hard_hat_workers1003.png,hard_hat_workers1003.txt
8,hard_hat_workers1004.png,hard_hat_workers1004.txt
9,hard_hat_workers1005.png,hard_hat_workers1005.txt
10,hard_hat_workers1006.png,hard_hat_workers1006.txt
11,hard_hat_workers1007.png,hard_hat_workers1007.txt
12,hard_hat_workers1008.png,hard_hat_workers1008.txt
13,hard_hat_workers1009.png,hard_hat_workers1009.txt
14,hard_hat_workers101.png,hard_hat_workers101.txt
15,hard_hat_workers1010.png,hard_hat_workers1010.txt
16,hard_hat_workers1011.png,hard_hat_workers1011.txt
17,hard_hat_workers1012.png,hard_hat_workers1012.txt
18,hard_hat_workers1013.png,hard_hat_workers1013.txt
19,hard_hat_workers1014.png,hard_hat_workers1014.txt
20,hard_hat_workers1015.png,hard_hat_workers1015.txt
21,hard_hat_workers1016.png,hard_hat_workers1016.txt
22,hard_hat_workers1017.png,hard_hat_workers1017.txt
23,hard_hat_workers1018.png,hard_hat_workers1018.txt
24,hard_hat_workers1019.png,hard_hat_workers1019.txt
25,hard_hat_workers102.png,hard_hat_workers102.txt
26,hard_hat_workers1020.png,hard_hat_workers1020.txt
27,hard_hat_workers1021.png,hard_hat_workers1021.txt
28,hard_hat_workers1022.png,hard_hat_workers1022.txt
29,hard_hat_workers1023.png,hard_hat_workers1023.txt
30,hard_hat_workers1024.png,hard_hat_workers1024.txt
31,hard_hat_workers1025.png,hard_hat_workers1025.txt
32,hard_hat_workers1026.png,hard_hat_workers1026.txt
33,hard_hat_workers1027.png,hard_hat_workers1027.txt
34,hard_hat_workers1028.png,hard_hat_workers1028.txt
35,hard_hat_workers1029.png,hard_hat_workers1029.txt
36,hard_hat_workers103.png,hard_hat_workers103.txt
